;Tubothalamea_Miliolida_Alveolinidae_Alveolinella_quoyi;Tubothalamea_Miliolida_Soritidae_Amphisorus_spp.;Globothalamea_Rotaliida_Amphisteginidae_Amphistegina_lessonii;Globothalamea_Rotaliida_Amphisteginidae_Amphistegina_lessonii_NBCLAB5174;Globothalamea_Rotaliida_Amphisteginidae_Amphistegina_lobifera;Globothalamea_Rotaliida_Amphisteginidae_Amphistegina_papillosa_Ambon;Globothalamea_Rotaliida_Amphisteginidae_Amphistegina_papillosa_Spermonde;Globothalamea_Rotaliida_Amphisteginidae_Amphistegina_radiata;Monothalamea_Xenophyophoroidea_Syringamminidae_Aschemonella_monile;Monothalamea_Xenophyophoroidea_???_Bizarria_bryiformis;Globothalamea_Rotaliida_Bolivinitidae_Bolivina_spp.;Tubothalamea_Miliolida_Alveolinidae_Borelis_schlumbergeri;Globothalamea_Rotaliida_Trichohyalidae_Buccella_frigida;Globothalamea_Rotaliida_Trichohyalidae_Buccella_peruviana;Globothalamea_Rotaliida_Calcarinidae_Calcarina_gaudichaudii;Globothalamea_Rotaliida_Calcarinidae_Calcarina_hispida_Spermonde;Globothalamea_Rotaliida_Calcarinidae_Calcarina_hispida_Ambon_&_Calcarina_spengleri;Globothalamea_Rotaliida_Calcarinidae_Calcarina_sp._NBCLAB5164;Globothalamea_Rotaliida_Calcarinidae_Calcarina_sp._NBCLAB5165;Globothalamea_Rotaliida_Calcarinidae_Calcarina_sp._Spermonde;Globothalamea_Rotaliida_Calcarinidae_Calcarina_sp._Sumba;Globothalamea_Rotaliida_Cassidulinidae_Cassidulinoides_parkerianus;Globothalamea_Rotaliida_Cibicididae_Cibicidoides_lobatulus;Globothalamea_Rotaliida_Cibicididae_Cibicidoides_wuellerstorfi;Globothalamea_Rotaliida_Notorotaliidae_Cribrorotalia_sp.;Globothalamea_Lituolida_Ammosphaeroidinidae_Cribrostomoides;Globothalamea_Textulariida_???_Cyrea_szymborska;Globothalamea_Rotaliida_Rosalinidae_Discanomalina_coronata;Globothalamea_Lituolida_Prolixoplectidae_Eggerelloides_scaber;Globothalamea_Rotaliida_Elphidiidae_Elphidium_williamsoni;Globothalamea_Lituolida_Trochamminidae_Entzia_macrescens;Globothalamea_Rotaliida_Pseudoparrellidae_Epistominella_exigua;Globothalamea_Rotaliida_Glabratellidae_Glabratella_sp.;Globothalamea_Rotaliida_Glabratellidae_Glabratellina_sp._&_Planoglabratella_opercularis_&_Planoglabratella_sp.;Globothalamea_Rotaliida_Globobuliminidae_Globobulimina_sp.;Globothalamea_Rotaliida_Cassidulinidae_Globocassidulina_biora;Globothalamea_Rotaliida_Haynesinidae_Haynesina_germanica;Globothalamea_Rotaliida_Nummulitidae_Heterostegina_depressa;Globothalamea_Rotaliida_Nummulitidae_Heterostegina_depressa_sp1;Globothalamea_Rotaliida_Nummulitidae_Heterostegina_depressa_sp2;Monothalamea_Group_3_Lacogromiidae_Lacogromia_cassipara;Tubothalamea_Miliolida_Soritidae_Marginopora_vertebralis;Monothalamea_Allogromiida_Allogromiidea_Micrometula_sp.;Globothalamea_Rotaliida_Murrayinellidae_Murayinella_globosa;Globothalamea_Rotaliida_Nummulitidae_Neoassilina_ammonoides;Globothalamea_Rotaliida_Calcarinidae_Neorotalia_calcar;Globothalamea_Rotaliida_Calcarinidae_Neorotalia_gaimardi_&_Baculoglypsina_sphaerulata;Globothalamea_Rotaliida_Notorotaliidae_Notorotalia_finlayi;Globothalamea_Rotaliida_Nummulitidae_Nummulites_venosus;Globothalamea_Rotaliida_Nummulitidae_Operculina_ammonoides;Globothalamea_Rotaliida_Nummulitidae_Operculina_complanata;Globothalamea_Rotaliida_Nummulitidae_Operculina_heterosteginoides;Globothalamea_Rotaliida_Nummulitidae_Operculina_sp.;Globothalamea_Rotaliida_Nummulitidae_Operculinella_cumingii;Globothalamea_Rotaliida_Globigerinidae_Orbulina_universa;Globothalamea_Rotaliida_Alabaminidae_Oridorsalis_umbonatus;Tubothalamea_Miliolida_Soritidae_Parasorites_sp.;Tubothalamea_Miliolida_Peneroplidae_Peneroplis_sp1;Tubothalamea_Miliolida_Peneroplidae_Peneroplis_sp2_&_Peneroplis_pertusus_&_Dendritina_ambigua;Globothalamea_Rotaliida_Nummulitidae_Planostegina_operculinides;Monothalamea_Xenophyophoroidea_Psamminidae_Psammina_limbata;Monothalamea_Astrorhizida_Saccamminidae_Psammophaga_sp._19260_&_Psammophaga_sp._19296_&_Psammophaga_sp2;Monothalamea_Astrorhizida_Saccamminidae_Psammophaga_sp1_19298;Globothalamea_Rotaliida_Pulleniidae_Pullenia_subcarinata;Globothalamea_Rotaliida_Rosalinidae_Rosalina_sp._14698;Globothalamea_Rotaliida_Rosalinidae_Rosalina_sp._17595;Tubothalamea_Miliolida_Soritidae_Sorites_sp1;Tubothalamea_Miliolida_Soritidae_Sorites_sp2;Globothalamea_Lituolida_Spiroplectamminidae_Spiroplectammina_sp.;Globothalamea_Rotaliida_Stainforthiidae_Stainforthia_sp.;Globothalamea_Textulariida_Textulariidae_Texturalia_gramen;Globothalamea_Rotaliida_Uvigerinidae_Trifarina_earlandi_&_Uvigerina_bifurcata;Globothalamea_Lituolida_Trochamminidae_Trochammina_hadai
Tubothalamea_Miliolida_Alveolinidae_Alveolinella_quoyi;;90.966;66.563;66.873;67.183;67.183;66.254;67.802;66.452;64.839;69.677;98.754;67.419;67.097;68.421;67.492;68.111;67.802;68.111;66.563;67.097;68.065;67.742;66.774;67.742;68.065;68.608;69.355;68.71;66.129;69.355;68.71;69.677;69.355;69.355;68.71;68.065;67.419;67.802;67.802;67.097;88.474;74.194;67.097;67.742;68.111;67.802;68.065;68.111;68.421;67.802;68.111;67.802;67.802;69.516;69.355;90.343;91.277;90.966;68.421;68.71;68.71;68.387;69.355;64.516;67.097;89.097;90.031;68.387;68.387;70.968;69.355;68.71
Tubothalamea_Miliolida_Soritidae_Amphisorus_spp.;90.966;;67.492;67.492;67.802;67.492;66.563;68.111;67.419;66.129;69.032;91.589;67.419;67.097;67.802;67.802;67.492;67.183;67.802;66.254;66.452;67.742;66.774;65.484;67.742;69.677;68.608;70;68.387;66.129;69.677;68.065;69.032;68.71;69.677;68.387;67.419;67.097;67.802;67.802;67.097;96.885;75.484;66.452;68.065;67.802;67.183;68.065;68.111;68.421;67.802;68.111;67.802;67.802;69.839;68.71;96.262;98.754;98.442;68.111;69.677;70;70.323;68.065;64.516;67.742;98.131;98.754;69.032;67.742;70.323;68.71;68.387
Globothalamea_Rotaliida_Amphisteginidae_Amphistegina_lessonii;66.563;67.492;;99.69;99.381;93.808;91.95;92.26;65.161;62.581;87.742;67.802;89.032;88.71;87.307;86.687;86.997;86.997;86.997;86.378;86.452;89.677;87.419;85.161;90;80.645;84.839;88.065;88.387;86.774;83.548;89.677;84.516;84.194;89.677;89.355;89.677;89.677;88.854;88.545;70.323;68.111;69.355;92.903;88.71;86.687;86.687;89.032;88.854;88.235;88.235;89.474;88.235;87.616;89.839;90.323;67.183;67.492;67.183;88.545;68.065;74.194;73.871;85.484;85.161;88.387;68.111;67.492;86.129;90;81.613;90.323;88.71
Globothalamea_Rotaliida_Amphisteginidae_Amphistegina_lessonii_NBCLAB5174;66.873;67.492;99.69;;99.69;93.498;91.641;91.95;65.484;62.903;88.065;68.111;89.355;89.032;87.616;86.997;87.307;87.307;87.307;86.687;86.774;90;87.742;85.484;90.323;80.968;85.161;88.387;88.71;87.097;83.871;90;84.839;84.516;90;89.677;90;90;89.164;88.854;70.645;68.421;69.677;93.226;89.032;86.997;86.997;89.355;89.164;88.545;88.545;89.783;88.545;87.926;90.161;90.645;67.492;67.802;67.492;88.235;68.387;74.516;74.194;85.806;85.484;88.71;68.111;67.492;86.452;90.323;81.935;90.645;89.032
Globothalamea_Rotaliida_Amphisteginidae_Amphistegina_lobifera;67.183;67.802;99.381;99.69;;93.808;91.95;92.26;65.806;63.226;88.387;68.421;89.677;89.355;87.926;87.307;87.616;87.616;87.616;86.997;87.097;90.323;88.065;85.806;90.645;81.29;85.484;88.71;89.032;87.419;84.194;90.323;85.161;84.839;90.323;90;90.323;90.323;89.474;89.164;70.968;68.731;70;93.548;89.355;87.307;87.307;89.677;89.474;88.854;88.854;90.093;88.854;88.235;90.484;90.968;67.802;68.111;67.802;88.545;68.71;74.839;74.516;86.129;85.806;89.032;68.421;67.802;86.774;90.645;82.258;90.968;89.355
Globothalamea_Rotaliida_Amphisteginidae_Amphistegina_papillosa_Ambon;67.183;67.492;93.808;93.498;93.808;;97.523;97.833;66.129;63.871;88.065;68.421;89.032;88.71;88.545;87.307;88.235;88.235;88.235;86.378;87.742;90.323;88.71;86.774;90;79.032;86.129;89.032;88.71;87.419;83.871;90.323;85.806;85.484;90.323;90;90.323;90;89.164;88.854;70.645;68.111;68.387;92.903;89.355;87.926;87.926;89.677;89.474;89.164;89.164;89.783;89.164;88.545;90.806;91.29;67.183;67.492;67.183;89.474;69.355;73.871;73.548;86.452;85.806;89.355;68.111;67.492;87.419;90.645;82.258;90.968;89.032
Globothalamea_Rotaliida_Amphisteginidae_Amphistegina_papillosa_Spermonde;66.254;66.563;91.95;91.641;91.95;97.523;;96.594;65.806;63.548;86.452;67.492;87.419;87.097;86.687;85.449;86.378;86.378;86.378;84.83;85.806;88.71;87.097;85.161;88.387;77.419;84.516;87.419;87.097;85.806;82.258;88.71;84.839;84.516;88.71;88.387;88.71;88.065;87.307;86.997;70.323;67.183;67.419;91.29;87.419;86.068;86.068;88.065;87.616;87.307;87.307;87.926;87.307;86.687;89.194;89.677;66.563;66.563;66.254;87.616;69.032;72.903;72.581;84.516;84.194;87.742;67.183;66.873;85.806;89.032;80.645;89.355;87.419
Globothalamea_Rotaliida_Amphisteginidae_Amphistegina_radiata;67.802;68.111;92.26;91.95;92.26;97.833;96.594;;65.161;64.194;87.419;69.04;88.387;88.065;88.235;86.997;87.926;87.926;87.926;86.068;87.419;89.677;88.065;86.129;89.355;78.71;86.774;89.032;88.71;86.774;83.548;89.677;86.129;85.806;89.677;89.355;89.677;89.032;88.235;87.926;70.968;68.421;68.065;92.258;88.387;87.616;87.616;89.032;88.545;88.235;88.235;88.854;88.235;87.616;90.161;90.645;67.802;68.111;67.802;88.545;69.032;73.871;73.548;85.484;85.161;88.71;68.731;68.111;87.419;90;81.935;90.323;89.032
Monothalamea_Xenophyophoroidea_Syringamminidae_Aschemonella_monile;66.452;67.419;65.161;65.484;65.806;66.129;65.806;65.161;;84.194;67.419;66.452;66.774;66.452;68.387;68.387;68.387;68.065;68.065;67.419;68.71;65.806;65.161;63.226;67.419;68.387;69.355;68.71;68.065;66.774;72.581;67.419;66.129;65.806;66.443;65.484;66.774;68.065;68.065;67.742;71.935;68.065;69.677;66.452;68.71;69.032;68.065;67.419;68.71;68.065;68.387;68.065;68.71;67.419;67.785;67.097;66.452;67.419;67.097;67.419;92.903;72.258;71.935;65.806;64.194;67.419;66.774;67.097;68.387;66.774;69.677;66.774;68.065
Monothalamea_Xenophyophoroidea_???_Bizarria_bryiformis;64.839;66.129;62.581;62.903;63.226;63.871;63.548;64.194;84.194;;63.226;65.161;62.581;62.258;66.452;66.452;66.452;66.452;66.774;66.452;67.097;63.548;60.968;59.032;62.903;70;67.742;65.161;66.129;62.258;70.968;63.226;61.935;61.613;62.416;62.903;62.581;65.161;65.161;64.839;71.613;66.452;68.71;63.226;66.129;66.774;66.129;62.903;65.806;65.484;65.484;65.161;65.484;65.806;63.758;63.226;65.484;66.129;65.806;64.516;86.774;72.258;71.935;60.323;58.387;62.581;65.161;65.484;65.806;63.226;69.677;62.903;65.484
Globothalamea_Rotaliida_Bolivinitidae_Bolivina_spp.;69.677;69.032;87.742;88.065;88.387;88.065;86.452;87.419;67.419;63.226;;70.323;93.226;92.903;88.71;87.419;89.032;89.032;88.387;87.097;88.387;92.903;93.226;91.29;94.194;80.323;89.355;91.29;91.935;92.258;86.452;93.548;91.29;90.968;94.295;93.548;93.548;90.323;90.323;90;70;69.355;71.613;91.613;89.355;88.71;88.71;93.226;90;90;89.677;90.645;89.677;89.355;93.289;93.548;69.032;69.355;69.032;89.677;69.355;74.516;74.194;90.645;89.677;92.903;69.677;69.032;90.645;93.871;85.806;94.839;92.258
Tubothalamea_Miliolida_Alveolinidae_Borelis_schlumbergeri;98.754;91.589;67.802;68.111;68.421;68.421;67.492;69.04;66.452;65.161;70.323;;68.71;68.387;69.659;68.731;69.35;69.04;69.35;67.802;68.387;69.355;68.387;67.419;69.032;68.71;69.903;70.645;70;67.419;70.645;70;70.968;70.645;70.645;70;69.355;68.71;69.04;69.04;67.742;89.097;74.516;68.387;69.032;69.35;69.04;69.355;69.35;69.659;69.04;69.35;69.04;69.04;70.806;70.645;90.966;91.9;91.589;69.659;68.71;69.032;68.71;70;65.806;68.387;89.72;90.654;69.677;69.677;71.935;70.645;70
Globothalamea_Rotaliida_Trichohyalidae_Buccella_frigida;67.419;67.419;89.032;89.355;89.677;89.032;87.419;88.387;66.774;62.581;93.226;68.71;;99.677;90;88.71;90.323;90.323;90;88.71;89.677;94.839;94.516;92.258;99.032;81.29;89.677;92.581;92.903;95.806;87.097;97.419;90.968;90.645;96.309;94.194;97.419;92.258;92.258;91.935;70.968;67.742;71.613;93.548;90.645;90;90;98.71;91.935;90.968;91.29;92.581;91.29;90;95.973;96.774;67.419;67.742;67.419;92.258;69.355;74.194;73.871;91.29;90.968;93.548;68.387;67.419;91.613;97.097;85.806;96.774;93.871
Globothalamea_Rotaliida_Trichohyalidae_Buccella_peruviana;67.097;67.097;88.71;89.032;89.355;88.71;87.097;88.065;66.452;62.258;92.903;68.387;99.677;;89.677;88.387;90;90;89.677;88.387;89.355;94.516;94.194;91.935;98.71;80.968;89.355;92.258;92.581;95.484;86.774;97.097;90.645;90.323;95.973;93.871;97.097;91.935;91.935;91.613;71.29;67.419;71.29;93.226;90.323;89.677;89.677;98.387;91.613;90.645;90.968;92.258;90.968;89.677;95.638;96.452;67.097;67.419;67.097;91.935;69.032;73.871;73.548;90.968;90.645;93.226;68.065;67.097;91.29;96.774;85.484;96.452;93.548
Globothalamea_Rotaliida_Calcarinidae_Calcarina_gaudichaudii;68.421;67.802;87.307;87.616;87.926;88.545;86.687;88.235;68.387;66.452;88.71;69.659;90;89.677;;98.142;99.69;99.071;99.071;97.214;98.387;90.645;89.032;86.774;90.968;82.258;90;90.968;91.29;89.032;87.097;91.29;88.065;87.742;90.968;90;91.29;95.806;95.356;94.737;72.258;68.731;71.613;92.258;96.129;99.071;99.381;90.323;95.666;95.666;95.975;95.356;95.666;95.666;92.097;91.613;67.802;68.111;67.802;94.427;72.258;75.806;75.484;85.484;87.097;90.968;68.421;67.802;90;90.968;87.097;91.29;90.968
Globothalamea_Rotaliida_Calcarinidae_Calcarina_hispida_Spermonde;67.492;67.802;86.687;86.997;87.307;87.307;85.449;86.997;68.387;66.452;87.419;68.731;88.71;88.387;98.142;;97.833;98.142;98.142;95.666;96.774;89.677;88.387;86.129;89.677;81.613;89.032;90;90.323;87.742;86.129;90;87.097;86.774;89.677;89.032;90;94.516;94.118;93.808;72.258;68.731;71.29;91.29;94.839;97.833;97.523;89.032;94.427;94.427;94.737;94.118;95.046;94.427;90.806;90.323;67.492;68.111;67.802;93.189;71.613;75.484;75.161;84.194;86.129;90;68.421;67.802;89.032;89.677;86.129;90;90
Globothalamea_Rotaliida_Calcarinidae_Calcarina_hispida_Ambon_&_Calcarina_spengleri;68.111;67.492;86.997;87.307;87.616;88.235;86.378;87.926;68.387;66.452;89.032;69.35;90.323;90;99.69;97.833;;99.381;98.762;97.523;98.71;90.968;89.355;87.097;91.29;82.581;90.323;91.29;91.613;89.355;87.419;91.613;88.387;88.065;91.29;90.323;91.613;96.129;95.666;95.046;72.581;68.421;71.613;92.581;95.806;99.381;99.69;90.645;95.975;95.356;96.285;95.666;95.975;95.356;92.419;91.935;67.492;67.802;67.492;94.737;72.258;75.806;75.484;85.806;87.419;91.29;68.111;67.492;90.323;91.29;87.419;91.613;91.29
Globothalamea_Rotaliida_Calcarinidae_Calcarina_sp._NBCLAB5164;67.802;67.183;86.997;87.307;87.616;88.235;86.378;87.926;68.065;66.452;89.032;69.04;90.323;90;99.071;98.142;99.381;;98.762;97.523;98.71;90.968;89.355;87.097;91.29;82.581;90;90.968;91.29;89.355;87.419;91.613;88.065;87.742;91.29;90.323;91.613;95.484;95.046;94.737;72.581;68.111;71.613;92.258;95.161;99.071;99.071;90.645;95.356;94.737;95.666;95.046;95.666;94.737;92.419;91.935;67.183;67.492;67.183;94.118;71.935;75.806;75.484;85.806;87.097;90.968;67.802;67.183;90;91.29;87.419;91.613;90.968
Globothalamea_Rotaliida_Calcarinidae_Calcarina_sp._NBCLAB5165;68.111;67.802;86.997;87.307;87.616;88.235;86.378;87.926;68.065;66.774;88.387;69.35;90;89.677;99.071;98.142;98.762;98.762;;97.523;98.065;90.645;89.355;87.097;90.645;82.903;89.355;90.323;90.645;88.71;87.742;90.968;87.419;87.097;90.645;90;90.968;94.839;94.427;94.118;72.903;68.731;71.935;91.613;95.161;98.452;98.452;90;94.737;94.737;95.046;94.427;95.046;94.737;91.774;91.29;67.492;68.111;67.802;93.498;71.935;76.129;75.806;85.161;86.452;90.323;68.421;67.802;89.355;90.645;87.419;90.968;90.323
Globothalamea_Rotaliida_Calcarinidae_Calcarina_sp._Spermonde;66.563;66.254;86.378;86.687;86.997;86.378;84.83;86.068;67.419;66.452;87.097;67.802;88.71;88.387;97.214;95.666;97.523;97.523;97.523;;97.419;89.032;87.419;85.161;89.355;82.258;88.065;89.032;89.355;87.419;86.774;89.677;86.129;85.806;89.355;88.387;89.677;93.548;93.189;93.498;72.581;67.183;70.968;90.323;93.548;97.833;97.833;88.71;93.498;93.189;93.808;93.189;93.808;92.879;90.484;90;66.873;66.873;66.563;92.26;71.29;75.161;74.839;83.871;85.161;89.032;66.873;65.635;88.065;89.355;86.774;89.677;89.032
Globothalamea_Rotaliida_Calcarinidae_Calcarina_sp._Sumba;67.097;66.452;86.452;86.774;87.097;87.742;85.806;87.419;68.71;67.097;88.387;68.387;89.677;89.355;98.387;96.774;98.71;98.71;98.065;97.419;;90.323;88.71;86.452;90.645;83.871;90.645;90.323;91.29;88.71;88.065;90.968;87.419;87.097;90.268;89.677;90.968;94.839;94.839;94.516;73.871;67.419;72.258;91.613;94.516;99.032;98.387;90;94.839;94.516;95.161;94.516;95.161;94.194;91.611;91.29;67.097;66.452;66.129;93.548;72.581;77.097;76.774;85.161;86.452;90.323;67.097;65.806;90;90.645;88.065;90.968;90.968
Globothalamea_Rotaliida_Cassidulinidae_Cassidulinoides_parkerianus;68.065;67.742;89.677;90;90.323;90.323;88.71;89.677;65.806;63.548;92.903;69.355;94.839;94.516;90.645;89.677;90.968;90.968;90.645;89.032;90.323;;94.839;92.581;95.806;81.613;90;94.194;92.581;92.581;87.097;96.774;91.29;90.968;96.98;99.355;96.774;93.548;93.548;93.226;71.935;68.065;71.29;95.484;91.29;90.645;90.645;94.839;93.871;91.613;93.226;93.871;93.226;91.29;97.315;97.419;67.419;68.065;67.742;93.548;69.355;74.516;74.194;91.29;91.613;94.839;68.387;67.742;91.29;97.097;85.161;97.419;92.903
Globothalamea_Rotaliida_Cibicididae_Cibicidoides_lobatulus;67.742;66.774;87.419;87.742;88.065;88.71;87.097;88.065;65.161;60.968;93.226;68.387;94.516;94.194;89.032;88.387;89.355;89.355;89.355;87.419;88.71;94.839;;96.452;95.484;79.677;89.032;91.935;90.968;92.258;84.839;96.452;90.968;90.645;96.644;94.839;96.452;91.613;91.613;91.29;70.323;67.097;70.968;93.226;89.677;89.032;89.032;94.516;91.613;90;90.968;91.935;90.968;89.677;95.973;96.774;66.452;67.097;66.774;91.613;67.419;72.903;72.581;92.903;92.581;93.871;67.419;66.774;90.323;96.774;83.548;97.097;91.935
Globothalamea_Rotaliida_Cibicididae_Cibicidoides_wuellerstorfi;66.774;65.484;85.161;85.484;85.806;86.774;85.161;86.129;63.226;59.032;91.29;67.419;92.258;91.935;86.774;86.129;87.097;87.097;87.097;85.161;86.452;92.581;96.452;;93.226;77.742;86.774;89.677;88.71;90;82.903;94.194;88.71;88.387;94.966;92.581;94.194;89.355;89.355;89.032;68.065;65.806;69.032;90.968;87.419;86.774;86.774;92.258;89.355;87.742;88.71;89.677;88.71;87.419;94.295;94.516;65.161;65.806;65.484;89.355;65.484;70.968;70.645;91.613;92.903;91.613;66.129;65.484;88.387;94.516;81.613;94.839;89.677
Globothalamea_Rotaliida_Notorotaliidae_Cribrorotalia_sp.;67.742;67.742;90;90.323;90.645;90;88.387;89.355;67.419;62.903;94.194;69.032;99.032;98.71;90.968;89.677;91.29;91.29;90.645;89.355;90.645;95.806;95.484;93.226;;81.613;90.323;93.548;93.548;96.774;86.774;98.387;91.613;91.29;97.315;95.161;98.387;93.226;93.226;92.903;71.29;68.065;71.613;94.516;91.613;90.968;90.968;99.032;92.903;91.935;92.258;93.548;92.258;90.968;96.98;97.742;67.742;68.065;67.742;93.226;70;74.516;74.194;92.258;91.935;94.516;68.387;67.742;92.258;98.065;86.129;97.742;94.516
Globothalamea_Lituolida_Ammosphaeroidinidae_Cribrostomoides;68.065;69.677;80.645;80.968;81.29;79.032;77.419;78.71;68.387;70;80.323;68.71;81.29;80.968;82.258;81.613;82.581;82.581;82.903;82.258;83.871;81.613;79.677;77.742;81.613;;87.097;83.226;84.516;80;87.742;81.613;80.968;80.645;82.215;80.968;80.968;81.935;81.935;81.613;74.839;70.645;75.484;81.613;81.935;82.903;82.258;80.645;81.935;81.935;81.613;82.581;81.613;81.613;83.221;81.935;70;69.677;69.355;81.29;72.903;79.677;79.355;77.419;78.065;81.613;70.323;69.032;84.516;81.29;83.548;81.613;83.871
Globothalamea_Textulariida_???_Cyrea_szymborska;68.608;68.608;84.839;85.161;85.484;86.129;84.516;86.774;69.355;67.742;89.355;69.903;89.677;89.355;90;89.032;90.323;90;89.355;88.065;90.645;90;89.032;86.774;90.323;87.097;;92.258;95.484;87.742;91.613;90;89.355;89.032;91.611;90;90;90;90;89.677;76.129;68.932;74.194;90;90;90.323;90;89.355;90;90;89.677;90.323;90;89.355;92.282;90.968;69.256;68.932;68.608;89.355;73.548;79.677;79.355;86.129;86.774;90.645;69.256;68.608;94.839;90.323;87.742;91.29;93.871
Globothalamea_Rotaliida_Rosalinidae_Discanomalina_coronata;69.355;70;88.065;88.387;88.71;89.032;87.419;89.032;68.71;65.161;91.29;70.645;92.581;92.258;90.968;90;91.29;90.968;90.323;89.032;90.323;94.194;91.935;89.677;93.548;83.226;92.258;;92.903;90.323;88.065;93.548;90.323;90;94.966;93.548;93.548;92.258;92.258;91.935;75.161;70.968;71.935;93.548;91.29;91.29;90.968;92.903;91.613;91.613;90.968;92.581;91.29;90.645;95.638;94.516;70;70.323;70;91.613;71.935;76.452;76.129;88.387;92.258;96.774;70;70;92.258;93.871;85.484;94.194;93.226
Globothalamea_Lituolida_Prolixoplectidae_Eggerelloides_scaber;68.71;68.387;88.387;88.71;89.032;88.71;87.097;88.71;68.065;66.129;91.935;70;92.903;92.581;91.29;90.323;91.613;91.29;90.645;89.355;91.29;92.581;90.968;88.71;93.548;84.516;95.484;92.903;;90.968;89.677;93.226;89.677;89.355;92.953;91.935;93.226;91.935;91.935;91.613;74.516;68.71;72.903;92.581;91.29;91.613;91.29;92.581;91.29;91.935;90.968;91.613;91.29;90.645;94.295;93.548;69.032;68.71;68.387;91.935;71.613;77.742;77.419;87.419;89.355;92.581;69.032;68.387;96.774;92.903;90.323;93.226;98.387
Globothalamea_Rotaliida_Elphidiidae_Elphidium_williamsoni;66.129;66.129;86.774;87.097;87.419;87.419;85.806;86.774;66.774;62.258;92.258;67.419;95.806;95.484;89.032;87.742;89.355;89.355;88.71;87.419;88.71;92.581;92.258;90;96.774;80;87.742;90.323;90.968;;85.484;95.161;89.677;89.355;93.96;91.935;95.484;90.645;90.645;90.323;68.71;66.452;70.323;91.29;89.032;89.032;89.032;95.806;90.323;89.677;90;90.968;90;89.355;93.624;94.516;66.452;66.452;66.129;90.645;69.355;72.903;72.581;89.032;88.71;91.29;66.774;66.129;89.677;94.839;84.839;94.516;91.935
Globothalamea_Lituolida_Trochamminidae_Entzia_macrescens;69.355;69.677;83.548;83.871;84.194;83.871;82.258;83.548;72.581;70.968;86.452;70.645;87.097;86.774;87.097;86.129;87.419;87.419;87.742;86.774;88.065;87.097;84.839;82.903;86.774;87.742;91.613;88.065;89.677;85.484;;87.097;84.839;84.516;87.248;86.452;87.097;87.419;87.419;87.097;75.806;70;73.226;85.806;87.097;87.097;87.097;86.452;87.419;87.097;87.097;88.065;87.097;87.097;88.926;87.742;69.355;70;69.677;87.097;76.774;80;79.677;83.871;82.258;86.129;70.323;69.677;89.032;86.774;88.387;87.097;89.677
Globothalamea_Rotaliida_Pseudoparrellidae_Epistominella_exigua;68.71;68.065;89.677;90;90.323;90.323;88.71;89.677;67.419;63.226;93.548;70;97.419;97.097;91.29;90;91.613;91.613;90.968;89.677;90.968;96.774;96.452;94.194;98.387;81.613;90;93.548;93.226;95.161;87.097;;91.935;91.613;98.322;96.129;99.355;93.548;93.548;93.226;70.968;68.387;72.581;95.484;91.29;91.29;91.29;97.419;93.871;91.613;93.226;94.194;93.226;91.29;97.987;98.71;68.065;68.387;68.065;94.194;69.677;74.194;73.871;93.226;92.258;94.839;68.71;68.065;91.935;99.032;85.806;98.71;94.516
Globothalamea_Rotaliida_Glabratellidae_Glabratella_sp.;69.677;69.032;84.516;84.839;85.161;85.806;84.839;86.129;66.129;61.935;91.29;70.968;90.968;90.645;88.065;87.097;88.387;88.065;87.419;86.129;87.419;91.29;90.968;88.71;91.613;80.968;89.355;90.323;89.677;89.677;84.839;91.935;;99.677;92.617;91.935;91.935;88.387;88.387;88.065;68.71;70;71.29;90;87.419;88.387;88.065;90.645;88.71;88.065;89.032;88.71;89.355;86.774;91.946;91.935;69.032;69.355;69.032;88.387;69.032;73.226;72.903;89.355;88.71;90.645;69.677;69.032;89.677;92.258;82.903;92.581;90.645
Globothalamea_Rotaliida_Glabratellidae_Glabratellina_sp._&_Planoglabratella_opercularis_&_Planoglabratella_sp.;69.355;68.71;84.194;84.516;84.839;85.484;84.516;85.806;65.806;61.613;90.968;70.645;90.645;90.323;87.742;86.774;88.065;87.742;87.097;85.806;87.097;90.968;90.645;88.387;91.29;80.645;89.032;90;89.355;89.355;84.516;91.613;99.677;;92.282;91.613;91.613;88.065;88.065;87.742;68.387;69.677;70.968;89.677;87.097;88.065;87.742;90.323;88.387;87.742;88.71;88.387;89.032;86.452;91.611;91.613;68.71;69.032;68.71;88.065;68.71;72.903;72.581;89.032;88.387;90.323;69.355;68.71;89.355;91.935;82.581;92.258;90.323
Globothalamea_Rotaliida_Globobuliminidae_Globobulimina_sp.;69.355;69.677;89.677;90;90.323;90.323;88.71;89.677;66.443;62.416;94.295;70.645;96.309;95.973;90.968;89.677;91.29;91.29;90.645;89.355;90.268;96.98;96.644;94.966;97.315;82.215;91.611;94.966;92.953;93.96;87.248;98.322;92.617;92.282;;96.98;98.322;93.624;93.226;92.903;71.812;70.323;72.483;95.638;91.275;90.968;90.968;96.644;93.871;91.29;93.226;93.871;93.226;91.29;97.581;98.322;69.677;70;69.677;93.548;69.463;74.832;74.497;92.617;92.617;95.638;70.323;69.677;91.946;98.658;85.57;99.664;93.289
